"Executavel","Categoria","Texto","Origem"
"LavSoft","operacional"," Where (I.Rol=""","D:\AtelieProd\Equipexe\Exe\LavSoft.exe"
"LavSoft","operacional"," Where (I.Rol=M.Rol) ","D:\AtelieProd\Equipexe\Exe\LavSoft.exe"
"LavSoft","operacional"," Where (M.CodCli=C.CodCli) and (M.Rol > ""0"")","D:\AtelieProd\Equipexe\Exe\LavSoft.exe"
"LavSoft","operacional"," Where (M.CodSerLav=S.CodSerLav) And (M.Rol=""","D:\AtelieProd\Equipexe\Exe\LavSoft.exe"
"LavSoft","operacional"," Where (M.Rol = CL.Rol)","D:\AtelieProd\Equipexe\Exe\LavSoft.exe"
"LavSoft","operacional"," Where (M.Rol = MC.Rol)","D:\AtelieProd\Equipexe\Exe\LavSoft.exe"
"LavSoft","operacional"," Where (M.Rol > ""0"")","D:\AtelieProd\Equipexe\Exe\LavSoft.exe"
"LavSoft","outro"," Where (Not(M.Cancelado=""S""))","D:\AtelieProd\Equipexe\Exe\LavSoft.exe"
"LavSoft","outro"," Where (NOT(MA.Cancelado = ""S"")) ","D:\AtelieProd\Equipexe\Exe\LavSoft.exe"
"LavSoft","operacional"," Where (Not(Rol=""""))","D:\AtelieProd\Equipexe\Exe\LavSoft.exe"
"LavSoft","operacional"," Where (Rol=","D:\AtelieProd\Equipexe\Exe\LavSoft.exe"
"LavSoft","operacional"," Where (Rol=""","D:\AtelieProd\Equipexe\Exe\LavSoft.exe"
